# SECTION 1 — PER-TIMEPOINT BREAKDOWN
# sd_flag=1 when SD criteria met at that timepoint,# slope_score=weighted slope score at that timepoint (0–6),# contribution=sd_flag + slope_score,# cumulative=running total from t=0
group,concentration_cfu_ml,time_min,sd_flag,slope_score,contribution,cumulative_total
0 (Sterile Negative Control),0.0,20,0,0.0,0.0,0.0
0 (Sterile Negative Control),0.0,25,0,0.0,0.0,0.0
0 (Sterile Negative Control),0.0,30,0,0.0,0.0,0.0
0 (Sterile Negative Control),0.0,35,0,0.0,0.0,0.0
0 (Sterile Negative Control),0.0,40,0,0.0,0.0,0.0
0 (Sterile Negative Control),0.0,45,0,0.0,0.0,0.0
0 (Sterile Negative Control),0.0,50,0,2.0,2.0,2.0
0 (Sterile Negative Control),0.0,55,0,0.0,0.0,2.0
0 (Sterile Negative Control),0.0,60,0,2.0,2.0,4.0
0 (Sterile Negative Control),0.0,65,0,2.0,2.0,6.0
0 (Sterile Negative Control),0.0,70,0,0.0,0.0,6.0
0 (Sterile Negative Control),0.0,75,0,0.0,0.0,6.0
0 (Sterile Negative Control),0.0,80,0,0.0,0.0,6.0
0 (Sterile Negative Control),0.0,85,0,0.0,0.0,6.0
0 (Sterile Negative Control),0.0,90,0,0.0,0.0,6.0
0 (Sterile Negative Control),0.0,95,0,0.0,0.0,6.0
0 (Sterile Negative Control),0.0,100,0,0.0,0.0,6.0
0 (Sterile Negative Control),0.0,105,0,0.0,0.0,6.0
0 (Sterile Negative Control),0.0,110,0,0.0,0.0,6.0
0 (Sterile Negative Control),0.0,115,0,0.0,0.0,6.0
0 (Sterile Negative Control),0.0,120,0,0.0,0.0,6.0

# SECTION 2 — PER-GROUP SUMMARY
group,concentration_cfu_ml,sd_event_count,slope_total_score,likert_event_count,total_detection_score,sd_detected,slope_detected,likert_detected,concordance_status,concordance_discordance_min,load_tier,rg_auc,rb_auc,gb_auc,time_to_ratio_threshold_min,rate_of_change_rg
10^1 ,10.0,0,42.0,0,42.0,False,False,False,concordant_negative,,negative,204.26,88.36,52.44,15,0.002553
10^2,100.0,0,33.0,0,33.0,False,False,False,concordant_negative,,negative,184.0,90.78,59.54,15,0.002642
10^3,1000.0,0,39.0,0,39.0,False,False,False,concordant_negative,,negative,163.94,94.16,69.4,never,0.000231
10^4,10000.0,0,17.0,0,17.0,False,False,False,concordant_negative,,negative,129.33,105.69,98.25,never,-0.002719
10^5,100000.0,0,12.0,0,12.0,False,False,False,concordant_negative,,negative,171.01,95.7,67.11,15,0.002071
10^6,1000000.0,1,50.0,0,51.0,False,True,False,algorithm_discordant,,moderate (≥10^6),208.27,103.21,65.11,15,0.001571
10^7,10000000.0,11,52.0,6,69.0,True,True,True,concordant_positive,5.0,moderate (≥10^6),296.88,134.04,53.36,10,0.003387
10^8 (Positive Control),100000000.0,5,51.0,16,72.0,True,True,True,concordant_positive,10.0,heavy  (≥10^7),198.2,165.98,100.27,15,-0.01418
0 (Sterile Negative Control),0.0,0,6.0,0,6.0,False,False,False,concordant_negative,,negative,126.2,115.15,109.58,never,-0.001814
