# SD ALGORITHM — CV (SD/mean) PER TIMEPOINT,thr_all=0.04,thr_two=0.08
group,concentration_cfu_ml,time_min,cv_R,cv_G,cv_B,cv_RG,cv_RB,cv_GB,sd_flag,meets_thr_all,meets_thr_two
10^4,10000.0,55,0.032053,0.039455,0.000688,0.007851,0.006492,0.013775,0,False,False
10^4,10000.0,60,0.035046,0.044718,0.000675,0.010155,0.005638,0.014359,0,False,False
10^4,10000.0,65,0.037676,0.049638,0.000805,0.012393,0.005102,0.014969,0,False,False
10^4,10000.0,70,0.039688,0.053794,0.0008,0.014603,0.005402,0.015153,0,False,False
10^4,10000.0,75,0.041272,0.057433,0.0008,0.016801,0.006578,0.015168,0,False,False
10^4,10000.0,80,0.042367,0.060526,0.000878,0.018923,0.008533,0.014953,0,False,False
10^4,10000.0,85,0.033557,0.052213,0.000659,0.019311,0.011542,0.010183,0,False,False
10^4,10000.0,90,0.025564,0.044619,0.000582,0.018498,0.014264,0.006474,0,False,False
10^4,10000.0,95,0.020776,0.038963,0.000434,0.017432,0.016425,0.003442,0,False,False
10^4,10000.0,100,0.016067,0.033703,0.000398,0.015776,0.017422,0.003979,0,False,False
10^4,10000.0,105,0.035754,0.078121,0.022052,0.04158,0.023522,0.020248,0,False,False
10^4,10000.0,110,0.044952,0.101424,0.029498,0.05272,0.026978,0.026628,0,False,False
10^4,10000.0,115,0.049578,0.116083,0.033855,0.059027,0.029644,0.0301,0,False,False
10^4,10000.0,120,0.051529,0.12436,0.036121,0.061118,0.030227,0.031921,0,False,False
10^5,100000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^5,100000.0,5,0.048377,0.051217,0.005152,0.00242,0.026958,0.029377,0,False,False
10^5,100000.0,10,0.05635,0.061143,0.005326,0.004239,0.024963,0.028845,0,False,False
10^5,100000.0,15,0.084007,0.189816,0.010573,0.119572,0.108949,0.026163,0,False,True
10^5,100000.0,20,0.087511,0.217672,0.011315,0.127516,0.116552,0.023679,0,False,True
10^5,100000.0,25,0.085851,0.22642,0.01139,0.125905,0.116298,0.021413,1,False,True
10^5,100000.0,30,0.082845,0.228277,0.011212,0.122078,0.113512,0.019672,1,False,True
10^5,100000.0,35,0.079484,0.226976,0.010913,0.117637,0.110238,0.018219,1,False,True
10^5,100000.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^5,100000.0,45,0.015882,0.023265,0.001437,0.005123,0.004661,0.009784,0,False,False
10^5,100000.0,50,0.021401,0.030506,0.001321,0.009726,0.004223,0.009422,0,False,False
10^5,100000.0,55,0.023052,0.035694,0.001319,0.013042,0.004426,0.010796,0,False,False
10^5,100000.0,60,0.023995,0.038965,0.001251,0.015336,0.008377,0.009825,0,False,False
10^5,100000.0,65,0.024683,0.042163,0.001179,0.017811,0.01219,0.008978,0,False,False
10^5,100000.0,70,0.025132,0.045058,0.001114,0.020352,0.015906,0.008254,0,False,False
10^5,100000.0,75,0.025239,0.047503,0.001057,0.022897,0.019825,0.007643,0,False,False
10^5,100000.0,80,0.025051,0.049476,0.001006,0.025251,0.023933,0.00733,0,False,False
10^5,100000.0,85,0.017099,0.040681,0.000357,0.02439,0.027592,0.005413,0,False,False
10^5,100000.0,90,0.010797,0.033855,0.000182,0.022726,0.02909,0.00716,0,False,False
10^5,100000.0,95,0.007339,0.028887,0.0,0.021429,0.030532,0.009365,0,False,False
10^5,100000.0,100,0.004593,0.024986,0.0,0.019749,0.030123,0.010805,0,False,False
10^5,100000.0,105,0.00284,0.048649,0.009078,0.04346,0.047309,0.009922,0,False,False
10^5,100000.0,110,0.001946,0.060931,0.012037,0.053593,0.056122,0.008945,0,False,False
10^5,100000.0,115,0.002137,0.068401,0.013703,0.058779,0.060633,0.007874,0,False,False
10^5,100000.0,120,0.003213,0.072477,0.014606,0.06088,0.061828,0.00666,0,False,False
10^6,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^6,1000000.0,5,0.073453,0.075417,0.00666,0.001547,0.053567,0.055112,0,False,False
10^6,1000000.0,10,0.082358,0.090067,0.006375,0.008384,0.051979,0.058605,0,False,False
10^6,1000000.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^6,1000000.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
