# LIKERT REFERENCE COLORS
level,label,R,G,B
1,No change (Negative),94,86,198
2,Slight change (Likely negative),80,68,175
3,Moderate change (Ambiguous),92,30,154
4,Clear change (Likely positive),210,50,158
5,Definite change (Positive),240,60,135

# LIKERT SCORES — PER TIMEPOINT
group,concentration_cfu_ml,time_min,likert_score,match_distance_rgb,above_threshold
0 (Sterile Negative Control),0.0,75,1,57.44,False
0 (Sterile Negative Control),0.0,80,1,56.25,False
0 (Sterile Negative Control),0.0,85,1,55.84,False
0 (Sterile Negative Control),0.0,90,1,55.42,False
0 (Sterile Negative Control),0.0,95,1,55.3,False
0 (Sterile Negative Control),0.0,100,1,55.3,False
0 (Sterile Negative Control),0.0,105,1,32.52,False
0 (Sterile Negative Control),0.0,110,1,32.37,False
0 (Sterile Negative Control),0.0,115,1,32.14,False
0 (Sterile Negative Control),0.0,120,1,32.17,False

# LIKERT SCORES — PER-GROUP SUMMARY
group,concentration_cfu_ml,likert_event_count,final_likert_score,detected,first_detection_min
10^1 ,10.0,0,1,False,
10^2,100.0,0,1,False,
10^3,1000.0,0,1,False,
10^4,10000.0,0,1,False,
10^5,100000.0,0,1,False,
10^6,1000000.0,0,1,False,
10^7,10000000.0,8,4,True,90
10^8 (Positive Control),100000000.0,19,5,True,0
0 (Sterile Negative Control),0.0,0,1,False,
