group,concentration_cfu_ml,time_min,R_mean,R_sd,R_N,G_mean,G_sd,G_N,B_mean,B_sd,B_N,RG_ratio_mean,RG_ratio_sd,RG_ratio_N,RB_ratio_mean,RB_ratio_sd,RB_ratio_N,GB_ratio_mean,GB_ratio_sd,GB_ratio_N
10^2,100.0,5,170.920425,14.151792,4,157.656675,16.414004,4,240.421,17.146433,4,1.086252,0.086309,4,0.819057,0.071294,4,0.761305,0.122978,4
10^2,100.0,10,163.69595,17.794474,4,147.274725,21.791515,4,239.72785,17.832228,4,1.113876,0.110681,4,0.807189,0.068073,4,0.734183,0.127754,4
10^2,100.0,15,133.761,21.304615,4,79.0326,19.462261,4,216.786225,31.638376,4,1.456788,0.110604,4,0.879334,0.070714,4,0.606824,0.073342,4
10^2,100.0,20,133.774625,21.074998,4,78.6462,19.690163,4,216.9606,31.85353,4,1.454411,0.106198,4,0.882578,0.073684,4,0.609783,0.073022,4
10^2,100.0,25,133.362025,20.476308,4,78.482525,19.993893,4,216.596475,31.699495,4,1.449148,0.101632,4,0.88549,0.076041,4,0.61373,0.072529,4
10^2,100.0,30,134.024325,20.707439,4,78.332125,20.153665,4,216.640325,31.721895,4,1.449382,0.104805,4,0.89003,0.078235,4,0.616872,0.074304,4
10^2,100.0,35,134.2808,20.419137,4,78.20065,20.320262,4,216.6563,31.702506,4,1.445718,0.10922,4,0.893863,0.081476,4,0.621284,0.07732,4
10^2,100.0,40,155.940425,13.114509,4,133.257575,21.942007,4,238.565575,19.032371,4,1.168404,0.156693,4,0.792322,0.076681,4,0.692866,0.149525,4
10^2,100.0,45,150.161375,11.23192,4,123.8857,22.181506,4,237.904725,19.192555,4,1.208733,0.18139,4,0.782031,0.083114,4,0.66436,0.159623,4
10^2,100.0,50,147.030625,10.820182,4,117.277325,23.761663,4,236.579775,19.046827,4,1.254537,0.220738,4,0.788137,0.079609,4,0.649393,0.166498,4
10^2,100.0,55,145.325,11.277993,4,112.1425,25.316835,4,235.692075,19.009757,4,1.297001,0.256494,4,0.792275,0.07909,4,0.635658,0.173143,4
10^2,100.0,60,140.850175,14.803435,4,108.6655,26.478527,4,230.726475,17.022008,4,1.28975,0.222306,4,0.791529,0.08926,4,0.635363,0.170585,4
10^2,100.0,65,139.9112,14.821928,4,106.535775,26.31091,4,230.411125,17.101056,4,1.298014,0.220077,4,0.798212,0.0924,4,0.636417,0.171582,4
10^2,100.0,70,139.3501,14.559086,4,104.9988,25.630788,4,230.1395,17.136235,4,1.302831,0.21749,4,0.802027,0.092069,4,0.636589,0.169954,4
10^2,100.0,75,139.3214,13.742817,4,103.262625,25.255415,4,230.01385,17.179979,4,1.311577,0.215507,4,0.812524,0.088797,4,0.639588,0.165852,4
10^2,100.0,80,138.883125,13.423009,4,101.873375,24.741004,4,229.89165,17.173607,4,1.316274,0.211784,4,0.818655,0.087266,4,0.641229,0.162629,4
10^2,100.0,85,138.6528,13.44322,4,100.65785,24.227492,4,229.713,17.267582,4,1.320862,0.205196,4,0.825118,0.08893,4,0.643087,0.160685,4
10^2,100.0,90,138.77785,13.482925,4,99.6604,23.792995,4,229.56115,17.346547,4,1.324309,0.198715,4,0.832873,0.090575,4,0.646423,0.158557,4
10^2,100.0,95,138.40425,13.860437,4,98.44315,23.532194,4,229.558325,17.362708,4,1.32596,0.188243,4,0.840672,0.09435,4,0.650471,0.157178,4
10^2,100.0,100,139.1537,13.233021,4,97.727275,22.933139,4,229.36405,17.461606,4,1.33033,0.183785,4,0.850423,0.09225,4,0.654791,0.152903,4
10^2,100.0,105,131.68365,15.11811,4,86.3408,13.893684,4,222.01815,27.311039,4,1.400707,0.137326,4,0.800064,0.155253,4,0.581498,0.161172,4
10^2,100.0,110,137.760425,17.431871,4,86.364775,10.848952,4,223.193025,27.749917,4,1.419361,0.170244,4,0.870234,0.07094,4,0.623054,0.118189,4
10^2,100.0,115,137.783825,17.50908,4,86.295575,12.277143,4,222.97565,27.746064,4,1.414342,0.165338,4,0.875098,0.073487,4,0.628244,0.117509,4
10^2,100.0,120,133.08575,20.709662,4,79.335675,19.144663,4,216.668175,31.502276,4,1.454822,0.102199,4,0.873826,0.07045,4,0.603527,0.071489,4
10^3,1000.0,0,193.057725,22.003543,4,190.741,21.076418,4,240.9226,17.380325,4,1.015248,0.020673,4,0.888416,0.072855,4,0.876111,0.084833,4
10^3,1000.0,5,180.482675,20.371455,4,175.943975,21.155498,4,242.5809,15.187303,4,1.024886,0.034501,4,0.85439,0.066427,4,0.835614,0.087142,4
10^3,1000.0,10,170.893425,25.603336,4,163.781925,28.819187,4,242.05245,16.088184,4,1.042179,0.058475,4,0.830204,0.060167,4,0.800422,0.094472,4
10^3,1000.0,15,142.231925,35.530632,4,101.344925,40.566272,4,222.94125,32.434851,4,1.248783,0.146132,4,0.893532,0.036582,4,0.725166,0.110953,4
10^3,1000.0,20,142.259425,35.370458,4,101.06445,40.69702,4,223.144625,32.52638,4,1.244128,0.141135,4,0.896667,0.037811,4,0.729996,0.110147,4
10^3,1000.0,25,142.03735,35.199134,4,101.0262,40.962266,4,222.95215,32.283873,4,1.239014,0.137491,4,0.899773,0.037088,4,0.735271,0.109759,4
10^3,1000.0,30,142.68105,35.260075,4,101.143175,41.169231,4,223.001575,32.292288,4,1.234742,0.134513,4,0.904072,0.036841,4,0.741013,0.10868,4
10^3,1000.0,35,142.822575,35.292167,4,101.15725,41.259065,4,223.07165,32.189386,4,1.226784,0.130168,4,0.906387,0.036967,4,0.74739,0.108084,4
10^3,1000.0,40,162.524275,23.210585,4,149.478175,27.569405,4,240.84585,18.059262,4,1.078258,0.086633,4,0.811852,0.051169,4,0.759017,0.101543,4
10^3,1000.0,45,157.569725,22.774648,4,140.225925,28.400936,4,240.4106,18.757572,4,1.112916,0.110079,4,0.804705,0.047378,4,0.7311,0.108517,4
10^3,1000.0,50,154.047075,22.235387,4,133.14255,30.512141,4,239.743825,19.679017,4,1.150111,0.145347,4,0.807924,0.046526,4,0.714017,0.121776,4
10^3,1000.0,55,152.70515,23.135264,4,128.574,33.003168,4,239.384425,20.449663,4,1.181063,0.17659,4,0.812608,0.050353,4,0.703072,0.134135,4
10^3,1000.0,60,148.8899,24.617952,4,124.5733,35.663082,4,235.089525,18.201241,4,1.189068,0.176634,4,0.814227,0.06148,4,0.700472,0.141111,4
10^3,1000.0,65,147.945,24.978642,4,121.7541,36.357509,4,234.547575,18.577257,4,1.20413,0.183815,4,0.821688,0.062551,4,0.698706,0.142717,4
10^3,1000.0,70,147.4341,24.686696,4,120.263475,36.003873,4,234.2745,18.410347,4,1.207469,0.180477,4,0.826194,0.062915,4,0.700089,0.141636,4
10^3,1000.0,75,147.399075,24.482324,4,118.654325,36.11349,4,234.0832,18.560001,4,1.212823,0.17876,4,0.837004,0.057287,4,0.705193,0.136533,4
10^3,1000.0,80,147.133825,24.344247,4,117.66505,35.945949,4,234.07565,18.464982,4,1.213303,0.174792,4,0.844085,0.05599,4,0.710073,0.133496,4
10^3,1000.0,85,146.987425,24.399325,4,117.03145,35.802878,4,233.939875,18.569239,4,1.211107,0.168927,4,0.851039,0.056506,4,0.716395,0.131485,4
10^3,1000.0,90,147.08545,24.440301,4,116.416625,35.738641,4,234.0392,18.470349,4,1.209514,0.166731,4,0.857744,0.055865,4,0.722549,0.130072,4
10^3,1000.0,95,146.743975,24.569838,4,115.8786,35.856897,4,234.180275,18.409673,4,1.20335,0.158415,4,0.865605,0.060488,4,0.73202,0.129711,4
10^3,1000.0,100,147.289375,24.447581,4,115.6243,35.539591,4,234.06115,18.429414,4,1.199591,0.157137,4,0.873735,0.057967,4,0.740842,0.128158,4
10^3,1000.0,105,161.260025,63.024542,4,134.138275,81.585567,4,229.0584,20.807696,4,1.178002,0.169531,4,0.896016,0.085513,4,0.779158,0.176968,4
10^3,1000.0,110,147.4823,26.47312,4,108.64695,28.259418,4,230.2925,21.446712,4,1.22278,0.146605,4,0.893492,0.039331,4,0.739805,0.103019,4
10^3,1000.0,115,147.557475,26.627073,4,108.847325,29.314711,4,230.166375,21.379786,4,1.215817,0.144181,4,0.898217,0.040002,4,0.748009,0.105343,4
10^3,1000.0,120,141.583975,35.194735,4,101.285425,40.379633,4,222.8418,32.250617,4,1.254019,0.148354,4,0.88823,0.038647,4,0.718084,0.111592,4
10^4,10000.0,0,199.131175,14.32823,4,197.9284,15.748725,4,242.42935,17.512527,4,1.01005,0.023779,4,0.913612,0.08138,4,0.904247,0.072111,4
