group,concentration_cfu_ml,time_min,cv_R_mean,cv_R_sd,cv_R_N,cv_G_mean,cv_G_sd,cv_G_N,cv_B_mean,cv_B_sd,cv_B_N,cv_RG_mean,cv_RG_sd,cv_RG_N,cv_RB_mean,cv_RB_sd,cv_RB_N,cv_GB_mean,cv_GB_sd,cv_GB_N,sd_flag_mean,sd_flag_sd,sd_flag_N
10^3,1000.0,0.010675,0.044731,0.0,1,0.047812,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^3,1000.0,0.042176,0.022325,0.0,1,0.05633,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^3,1000.0,0.04304,0.009605,0.0,1,0.038277,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^3,1000.0,0.0434,0.040493,0.0,1,0.089227,0.0,1,4.0,0.0,1,,,0,105.0,0.0,1,,,0,,,0
10^3,1000.0,5,0.047497,0.010933,4,0.057641,0.012071,4,0.005202,0.007116,4,0.007549,0.009498,4,0.02744,0.009511,4,0.033927,0.011412,4,0.0,0.0,4
10^3,1000.0,10,0.064363,0.021946,4,0.081032,0.032038,4,0.003865,0.005066,4,0.01401,0.019437,4,0.034206,0.018384,4,0.046827,0.02503,4,0.0,0.0,4
10^3,1000.0,15,0.06502,0.090329,4,0.09809,0.122624,4,0.011505,0.02301,4,0.026704,0.033932,4,0.017126,0.019869,4,0.019663,0.030584,4,0.0,0.0,4
10^3,1000.0,20,0.072812,0.102366,4,0.113374,0.143064,4,0.012736,0.025472,4,0.028599,0.036512,4,0.017241,0.020468,4,0.020242,0.032602,4,0.0,0.0,4
10^3,1000.0,25,0.074513,0.105487,4,0.11834,0.15059,4,0.012848,0.025696,4,0.028166,0.036365,4,0.016868,0.020232,4,0.02001,0.0322,4,0.0,0.0,4
10^3,1000.0,30,0.074022,0.105352,4,0.119372,0.153034,4,0.012623,0.025246,4,0.027188,0.035458,4,0.016459,0.019836,4,0.019723,0.031138,4,0.0,0.0,4
10^3,1000.0,35,0.072636,0.10379,4,0.118688,0.153156,4,0.012272,0.024544,4,0.026092,0.034385,4,0.016092,0.019396,4,0.019557,0.029855,4,0.0,0.0,4
10^3,1000.0,40,0.068264,0.097653,4,0.111474,0.14411,4,0.012472,0.024944,4,0.02599,0.03501,4,0.019738,0.023842,4,0.022958,0.02869,4,0.0,0.0,4
10^3,1000.0,45,0.067166,0.073159,4,0.126178,0.100639,4,0.013951,0.024613,4,0.040198,0.022812,4,0.02528,0.026458,4,0.04126,0.008549,4,0.0,0.0,4
10^3,1000.0,50,0.060674,0.060347,4,0.126395,0.080075,4,0.014584,0.024002,4,0.047807,0.022376,4,0.027822,0.029459,4,0.049334,0.014203,4,0.0,0.0,4
10^3,1000.0,55,0.052155,0.055391,4,0.119706,0.075901,4,0.015117,0.023584,4,0.051644,0.027635,4,0.02915,0.030996,4,0.055561,0.02152,4,0.0,0.0,4
10^3,1000.0,60,0.05799,0.047493,4,0.12475,0.068616,4,0.022442,0.021228,4,0.053522,0.026794,4,0.031282,0.02874,4,0.058361,0.024553,4,0.0,0.0,4
10^3,1000.0,65,0.057368,0.040972,4,0.124841,0.060411,4,0.023473,0.020679,4,0.054578,0.024826,4,0.031093,0.025909,4,0.058151,0.025911,4,0.0,0.0,4
10^3,1000.0,70,0.054041,0.033269,4,0.120127,0.051247,4,0.022693,0.019295,4,0.053027,0.021925,4,0.028638,0.022239,4,0.055176,0.025805,4,0.0,0.0,4
10^3,1000.0,75,0.04821,0.023591,4,0.112013,0.043889,4,0.020414,0.017111,4,0.049381,0.019973,4,0.02561,0.014592,4,0.048738,0.024954,4,0.0,0.0,4
10^3,1000.0,80,0.038665,0.014558,4,0.095305,0.052484,4,0.013276,0.017971,4,0.039676,0.026498,4,0.017753,0.005389,4,0.034291,0.030216,4,0.0,0.0,4
10^3,1000.0,85,0.028002,0.016447,4,0.072704,0.044029,4,0.01213,0.01761,4,0.028467,0.017824,4,0.021107,0.005529,4,0.022426,0.020011,4,0.0,0.0,4
10^3,1000.0,90,0.020428,0.015483,4,0.054203,0.031104,4,0.010223,0.016066,4,0.018206,0.008607,4,0.022561,0.005171,4,0.016601,0.011791,4,0.0,0.0,4
10^3,1000.0,95,0.01554,0.01191,4,0.04011,0.019457,4,0.007505,0.012524,4,0.01144,0.004454,4,0.023516,0.005338,4,0.018531,0.011417,4,0.0,0.0,4
10^3,1000.0,100,0.008644,0.006233,4,0.02745,0.013001,4,0.001741,0.002188,4,0.009459,0.002135,4,0.024568,0.006536,4,0.023233,0.013847,4,0.0,0.0,4
10^3,1000.0,105,0.052986,0.064791,4,0.08704,0.09137,4,0.008356,0.014342,4,0.023407,0.016355,4,0.029545,0.014478,4,0.049359,0.034474,4,0.25,0.5,4
10^3,1000.0,110,0.069738,0.057694,4,0.096376,0.091272,4,0.012009,0.018764,4,0.025776,0.017078,4,0.031104,0.015797,4,0.052709,0.030175,4,0.25,0.5,4
10^3,1000.0,115,0.075706,0.057755,4,0.101113,0.093206,4,0.013984,0.021483,4,0.027429,0.017335,4,0.030394,0.016305,4,0.053513,0.027027,4,0.25,0.5,4
10^3,1000.0,120,0.093731,0.033361,4,0.132816,0.07397,4,0.026296,0.024688,4,0.034823,0.016107,4,0.029288,0.016329,4,0.057912,0.022141,4,0.25,0.5,4
10^4,10000.0,0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^4,10000.0,0.013091,0.084386,0.0,1,0.094729,0.0,1,3.0,0.0,1,,,0,110.0,0.0,1,,,0,,,0
10^4,10000.0,0.024183,0.025988,0.0,1,0.050429,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^4,10000.0,0.031998,0.021459,0.0,1,0.041025,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^4,10000.0,0.061118,0.030227,0.0,1,0.031921,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^4,10000.0,5,0.032021,0.024349,4,0.037541,0.017612,4,0.004646,0.007071,4,0.004582,0.003553,4,0.01371,0.014679,4,0.014806,0.013651,4,0.0,0.0,4
10^4,10000.0,10,0.043307,0.025738,4,0.051645,0.020292,4,0.004056,0.005585,4,0.005933,0.004749,4,0.015854,0.016909,4,0.018774,0.017303,4,0.0,0.0,4
10^4,10000.0,15,0.065154,0.071605,4,0.126599,0.1033,4,0.007746,0.015492,4,0.039332,0.042711,4,0.035663,0.025649,4,0.033065,0.030427,4,0.0,0.0,4
10^4,10000.0,20,0.069715,0.080938,4,0.145158,0.121015,4,0.008556,0.017113,4,0.041534,0.046105,4,0.03764,0.027688,4,0.035484,0.033053,4,0.0,0.0,4
10^4,10000.0,25,0.069868,0.083311,4,0.150626,0.127963,4,0.008668,0.017335,4,0.040673,0.046039,4,0.037599,0.027653,4,0.035902,0.032987,4,0.0,0.0,4
10^4,10000.0,30,0.068496,0.083258,4,0.151288,0.130609,4,0.00852,0.01704,4,0.03898,0.044913,4,0.036735,0.027024,4,0.03576,0.032241,4,0.0,0.0,4
10^4,10000.0,35,0.066601,0.081996,4,0.150036,0.131243,4,0.008273,0.016546,4,0.037244,0.043648,4,0.035776,0.02622,4,0.035502,0.031238,4,0.0,0.0,4
10^4,10000.0,40,0.020733,0.023952,4,0.066248,0.078162,4,0.0,0.0,4,0.011474,0.013315,4,0.028144,0.03325,4,0.020493,0.023756,4,0.0,0.0,4
10^4,10000.0,45,0.024264,0.010923,4,0.064301,0.050667,4,0.00019,0.000352,4,0.010318,0.009984,4,0.032295,0.030858,4,0.028372,0.024043,4,0.0,0.0,4
10^4,10000.0,50,0.027616,0.010414,4,0.05683,0.032659,4,0.000396,0.000496,4,0.010209,0.007316,4,0.033131,0.03055,4,0.03314,0.026478,4,0.0,0.0,4
10^4,10000.0,55,0.028555,0.014783,4,0.047102,0.016159,4,0.00053,0.000684,4,0.010326,0.005063,4,0.033793,0.028885,4,0.038339,0.027546,4,0.0,0.0,4
10^4,10000.0,60,0.03169,0.01855,4,0.048283,0.014139,4,0.000879,0.000695,4,0.013131,0.006701,4,0.035067,0.030356,4,0.042884,0.031501,4,0.0,0.0,4
10^4,10000.0,65,0.033678,0.019225,4,0.049689,0.01287,4,0.000994,0.000765,4,0.016161,0.00788,4,0.03491,0.028953,4,0.045754,0.031971,4,0.0,0.0,4
10^4,10000.0,70,0.034064,0.018415,4,0.050838,0.013767,4,0.000985,0.000772,4,0.018958,0.007561,4,0.032189,0.025322,4,0.045112,0.029473,4,0.0,0.0,4
10^4,10000.0,75,0.032358,0.014531,4,0.05248,0.015643,4,0.000951,0.000742,4,0.02104,0.006764,4,0.027131,0.017993,4,0.040139,0.022256,4,0.0,0.0,4
10^4,10000.0,80,0.027694,0.010835,4,0.054067,0.017816,4,0.000951,0.000713,4,0.021903,0.004288,4,0.016858,0.005581,4,0.023302,0.016577,4,0.0,0.0,4
10^4,10000.0,85,0.021008,0.009378,4,0.044018,0.015462,4,0.000856,0.000687,4,0.02003,0.003942,4,0.018452,0.004988,4,0.021649,0.016902,4,0.0,0.0,4
10^4,10000.0,90,0.01606,0.007619,4,0.0353,0.01295,4,0.00081,0.000657,4,0.017991,0.006576,4,0.019694,0.005703,4,0.021621,0.018122,4,0.0,0.0,4
10^4,10000.0,95,0.013154,0.006881,4,0.028598,0.011307,4,0.000898,0.000812,4,0.016232,0.009259,4,0.021307,0.006764,4,0.022935,0.018848,4,0.0,0.0,4
10^4,10000.0,100,0.011061,0.006419,4,0.021401,0.009025,4,0.000906,0.000871,4,0.014463,0.011366,4,0.022927,0.007846,4,0.026027,0.019058,4,0.0,0.0,4
10^4,10000.0,105,0.014452,0.014955,4,0.029824,0.032418,4,0.006343,0.010516,4,0.022527,0.016324,4,0.037631,0.027023,4,0.047209,0.028238,4,0.0,0.0,4
10^4,10000.0,110,0.02292,0.022079,4,0.037139,0.043596,4,0.008197,0.014231,4,0.027685,0.018563,4,0.039173,0.02779,4,0.052361,0.026212,4,0.25,0.5,4
10^4,10000.0,115,0.02596,0.026324,4,0.041114,0.051275,4,0.009214,0.01645,4,0.030857,0.020337,4,0.039163,0.02922,4,0.054775,0.026177,4,0.25,0.5,4
10^4,10000.0,120,0.040906,0.02666,4,0.063134,0.051113,4,0.018013,0.020259,4,0.032598,0.020535,4,0.040515,0.029466,4,0.054526,0.027847,4,0.25,0.5,4
10^5,100000.0,0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^5,100000.0,0.014418,0.056722,0.0,1,0.043043,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^5,100000.0,0.015107,0.022708,0.0,1,0.037009,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
10^5,100000.0,0.021446,0.085102,0.0,1,0.094629,0.0,1,3.0,0.0,1,,,0,110.0,0.0,1,,,0,,,0
10^5,100000.0,0.06088,0.061828,0.0,1,0.00666,0.0,1,3.0,0.0,1,,,0,25.0,0.0,1,,,0,,,0
